0	106	76	
1	92	30	
2	95	33	
3	97	73	
4	96	39	
5	101	82	
6	55	47	
7	31	19	
8	43	27	
9	66	48	
10	104	19	
11	50	24	
12	58	68	
13	79	82	
14	18	23	
15	22	49	
16	51	52	
17	84	23	
18	23	14	
19	104	31	
20	64	49	
21	81	35	
22	30	49	
23	63	96	
24	11	78	
25	27	68	
26	97	99	
27	43	8	
28	46	10	
29	38	85	
30	22	10	
31	104	19	
32	11	50	
33	2	95	
34	48	49	
35	3	36	
36	54	48	
37	55	45	
38	88	29	
39	103	4	
40	105	107	
41	61	22	
42	65	19	
43	27	8	
44	54	88	
45	89	75	
46	28	10	
47	53	62	
48	54	36	
49	22	64	
50	11	32	
51	65	93	
52	51	42	
53	64	68	
54	36	48	
55	53	6	
56	6	25	
57	108	90	
58	76	12	
59	19	51	
60	106	65	
61	41	36	
62	64	20	
63	23	97	
64	53	20	
65	51	42	
66	9	45	
67	102	58	
68	74	53	
69	8	27	
70	74	43	
71	46	7	
72	102	39	
73	3	14	
74	68	43	
75	89	45	
76	58	11	
77	47	83	
78	24	4	
79	82	13	
80	59	106	
81	21	35	
82	79	13	
83	47	77	
84	17	39	
85	29	38	
86	48	36	
87	66	72	
88	38	95	
89	75	45	
90	93	26	
91	33	8	
92	1	29	
93	51	10	
94	104	7	
95	88	30	
96	4	39	
97	26	99	
98	101	5	
99	97	26	
100	71	91	
101	5	84	
102	72	39	
39	103	4	
104	10	19	
105	24	13	
106	60	0	
107	105	13	
108	96	13	
